sample,target_scaled
0,0.12659962
1,0.15600577
2,0.21814017
3,0.27234054
4,0.2831012
5,0.27075362
6,0.34394655
7,0.2792829
8,0.44014835
9,0.49737352
10,0.66761124
11,0.60041857
12,0.69528174
13,0.8306587
14,0.79391325
15,0.689926
16,0.6494123
17,0.66701615
18,0.70946413
19,0.7306216
20,0.67568856
21,0.7631925
22,0.80881244
23,0.8150877
24,0.8848619
25,0.7719581
26,0.7438193
27,0.7611507
28,0.70776165
29,0.74501437
30,0.6570122
31,0.7493972
32,0.5892798
33,0.6157659
34,0.53822756
35,0.6555175
36,0.67980176
37,0.71491814
38,0.7709432
39,0.64287144
40,0.7589524
41,0.85936415
42,0.86299175
43,0.8515045
44,0.9054638
45,0.84888476
46,0.81119865
47,0.92601997
48,0.9175467
49,0.8771863
50,0.97268546
51,0.9492438
52,0.87565744
53,0.8803968
54,0.7756229
55,0.73011553
56,0.77271813
57,0.9008318
