sample,target_scaled
0,0.15134798
1,0.30899566
2,0.32279196
3,0.4232198
4,0.48862126
5,0.63448346
6,0.6254583
7,0.6956994
8,0.7116132
9,0.544432
10,0.5317615
11,0.5352308
12,0.5472477
13,0.5426471
14,0.62035483
15,0.56275916
16,0.519996
17,0.54712206
18,0.674959
19,0.62639254
20,0.62389505
21,0.6581037
22,0.78820264
23,0.83479816
24,0.9040986
25,0.80936867
26,0.777254
27,0.8016994
28,0.7411532
29,0.7846961
30,0.75394356
31,0.85959697
32,0.92054695
33,0.86678684
34,0.86824995
35,0.7844438
36,0.8655507
37,0.8866872
38,0.8283984
39,0.7676294
40,0.8809166
41,0.94406503
42,0.8663381
43,0.8105551
44,0.72870255
45,0.74793816
46,0.6767666
47,0.75051975
48,0.8035694
49,0.8260194
50,0.8523924
51,0.9256185
52,0.9737431
53,0.89994705
54,0.83728796
55,0.7868469
56,0.85445935
57,0.90102017
