sample,target_scaled
0,0.049145512
1,0.10209
2,0.16351204
3,0.16192558
4,0.24157572
5,0.27341092
6,0.24545467
7,0.33659866
8,0.4798077
9,0.42979294
10,0.4273505
11,0.5051988
12,0.66036433
13,0.64556193
14,0.5615396
15,0.58519924
16,0.607019
17,0.5871807
18,0.646251
19,0.7054255
20,0.6542619
21,0.76020205
22,0.88288236
23,0.86498153
24,0.7668543
25,0.7640387
26,0.8187019
27,0.93096644
28,0.83747876
29,0.89661235
30,0.8148514
31,0.85174596
32,0.7681865
33,0.67372715
34,0.6169117
35,0.62715924
36,0.7039927
37,0.6752726
38,0.60021293
39,0.62620944
40,0.68347126
41,0.7484656
42,0.69422793
43,0.74174273
44,0.81494194
45,0.77819425
46,0.66598386
47,0.6830568
48,0.7242258
49,0.7313128
50,0.75327635
51,0.79646903
52,0.82367086
53,0.82232475
54,0.8473684
55,0.775371
56,0.85371804
57,0.885404
